id,store_id,order_date,payment
1,40,2020-01-05,1266
2,5,2020-01-12,954
3,30,2020-01-04,96
4,83,2020-01-04,196
5,41,2020-01-03,377
6,61,2020-01-10,726
7,52,2020-01-06,4883
8,86,2020-01-04,3004
9,73,2020-01-05,594
10,11,2020-01-14,784
11,10,2020-01-06,2535
12,24,2020-01-10,789
13,13,2020-01-01,679
14,26,2020-01-10,1808
15,60,2020-01-09,880
16,20,2020-01-12,3459
17,95,2020-01-09,1242
18,85,2020-01-02,2003
19,62,2020-01-13,1746
20,3,2020-01-08,2192
21,87,2020-01-09,290
22,13,2020-01-09,220
23,15,2020-01-06,1639
24,24,2020-01-02,1708
25,58,2020-01-01,871
26,45,2020-01-14,774
27,20,2020-01-02,718
28,52,2020-01-02,1560
29,92,2020-01-04,2132
30,28,2020-01-07,996
31,35,2020-01-01,3795
32,78,2020-01-08,1651
33,47,2020-01-13,2759
34,23,2020-01-09,2632
35,25,2020-01-12,490
36,9,2020-01-01,525
37,76,2020-01-06,1791
38,5,2020-01-10,4347
39,88,2020-01-06,822
40,63,2020-01-07,1334
41,1,2020-01-11,470
42,32,2020-01-10,3559
43,98,2020-01-06,83
44,51,2020-01-12,1338
45,17,2020-01-14,539
46,54,2020-01-05,273
47,85,2020-01-01,1500
48,55,2020-01-10,912
49,43,2020-01-14,2262
50,41,2020-01-13,1439
51,31,2020-01-07,1224
52,13,2020-01-11,1201
53,50,2020-01-06,291
54,11,2020-01-14,1428
55,47,2020-01-14,2424
56,54,2020-01-03,2163
57,3,2020-01-14,2507
58,42,2020-01-02,567
59,18,2020-01-04,1958
60,41,2020-01-03,2591
61,11,2020-01-09,3057
62,57,2020-01-02,2405
63,92,2020-01-14,1674
64,87,2020-01-01,756
65,29,2020-01-01,324
66,86,2020-01-07,258
67,4,2020-01-04,1617
68,84,2020-01-08,1739
69,36,2020-01-10,1510
70,48,2020-01-09,2409
71,52,2020-01-12,2775
72,65,2020-01-03,1152
73,18,2020-01-04,26
74,81,2020-01-07,1734
75,44,2020-01-05,1266
76,1,2020-01-04,2754
77,65,2020-01-10,2132
78,33,2020-01-13,1235
79,26,2020-01-03,129
80,47,2020-01-10,1339
81,51,2020-01-07,2086
82,65,2020-01-09,2377
83,30,2020-01-12,632
84,94,2020-01-03,465
85,75,2020-01-04,191
86,65,2020-01-08,306
87,82,2020-01-11,210
88,68,2020-01-08,1456
89,12,2020-01-12,1696
90,3,2020-01-11,566
91,78,2020-01-03,1512
92,32,2020-01-07,1790
93,7,2020-01-14,600
94,29,2020-01-14,1680
95,98,2020-01-06,1580
96,76,2020-01-12,1989
97,81,2020-01-04,2221
98,60,2020-01-14,1030
99,99,2020-01-02,196
100,100,2020-01-07,1341
101,99,2020-01-13,1014
102,54,2020-01-06,1255
103,98,2020-01-10,629
104,19,2020-01-03,2185
105,94,2020-01-05,3599
106,95,2020-01-03,2421
107,9,2020-01-03,530
108,85,2020-01-04,618
109,15,2020-01-07,2203
110,74,2020-01-06,1539
111,27,2020-01-02,582
112,27,2020-01-04,2223
113,56,2020-01-02,1061
114,31,2020-01-12,1363
115,43,2020-01-05,3596
116,18,2020-01-04,585
117,22,2020-01-04,1310
118,62,2020-01-03,1217
119,9,2020-01-04,917
120,72,2020-01-02,2953
121,47,2020-01-13,352
122,30,2020-01-06,1052
123,28,2020-01-05,2938
124,75,2020-01-06,2090
125,56,2020-01-11,124
126,52,2020-01-12,1923
127,40,2020-01-01,1186
128,58,2020-01-01,1746
129,70,2020-01-04,1351
130,41,2020-01-07,281
131,78,2020-01-09,2438
132,12,2020-01-03,1531
133,52,2020-01-10,252
134,80,2020-01-12,3235
135,39,2020-01-07,581
136,10,2020-01-12,1573
137,61,2020-01-13,2025
138,12,2020-01-08,811
139,78,2020-01-13,1125
140,42,2020-01-02,135
141,32,2020-01-10,3223
142,92,2020-01-10,2679
143,70,2020-01-13,287
144,100,2020-01-04,718
145,74,2020-01-03,1862
146,85,2020-01-07,1896
147,97,2020-01-07,2563
148,85,2020-01-11,1824
149,100,2020-01-14,1473
150,20,2020-01-08,864
151,59,2020-01-11,1126
152,13,2020-01-13,3049
153,21,2020-01-07,1298
154,20,2020-01-05,2146
155,16,2020-01-08,1827
156,87,2020-01-02,1595
157,51,2020-01-03,372
158,14,2020-01-01,2312
159,83,2020-01-02,1151
160,24,2020-01-01,2000
161,41,2020-01-02,1287
162,37,2020-01-13,1482
163,55,2020-01-10,192
164,56,2020-01-08,1408
165,49,2020-01-11,330
166,75,2020-01-06,1234
167,55,2020-01-10,1383
168,65,2020-01-06,2291
169,14,2020-01-07,1470
170,81,2020-01-14,2529
171,19,2020-01-14,1025
172,100,2020-01-04,1694
173,80,2020-01-11,3109
174,86,2020-01-11,1578
175,68,2020-01-11,543
176,85,2020-01-06,1636
177,49,2020-01-14,1208
178,7,2020-01-05,1979
179,8,2020-01-03,659
180,79,2020-01-02,483
181,68,2020-01-02,1536
182,68,2020-01-10,74
183,67,2020-01-02,767
184,42,2020-01-01,920
185,62,2020-01-08,1813
186,34,2020-01-14,1989
187,99,2020-01-11,713
188,99,2020-01-01,2828
189,28,2020-01-09,660
190,44,2020-01-14,1474
191,23,2020-01-12,2673
192,57,2020-01-07,132
193,32,2020-01-08,1935
194,49,2020-01-04,248
195,83,2020-01-10,2295
196,31,2020-01-07,1875
197,56,2020-01-06,86
198,51,2020-01-02,1202
199,54,2020-01-01,1675
200,48,2020-01-11,2140
201,84,2020-01-06,964
202,33,2020-01-01,216
203,31,2020-01-02,1386
204,28,2020-01-13,2313
205,67,2020-01-06,2821
206,17,2020-01-09,3475
207,81,2020-01-13,2741
208,79,2020-01-06,959
209,2,2020-01-03,728
210,7,2020-01-03,1062
211,9,2020-01-14,378
212,53,2020-01-04,84
213,41,2020-01-14,1964
214,10,2020-01-11,3236
215,68,2020-01-11,113
216,1,2020-01-07,1117
217,24,2020-01-03,602
218,48,2020-01-12,3813
219,46,2020-01-08,2419
220,99,2020-01-13,3093
221,13,2020-01-07,1034
222,3,2020-01-03,850
223,87,2020-01-03,1995
224,5,2020-01-02,704
225,54,2020-01-13,995
226,43,2020-01-12,3032
227,27,2020-01-02,1468
228,27,2020-01-10,633
229,18,2020-01-11,992
230,38,2020-01-14,1551
231,68,2020-01-06,1398
232,22,2020-01-12,24
233,68,2020-01-06,2913
234,2,2020-01-08,1396
235,30,2020-01-12,2732
236,39,2020-01-05,1798
237,43,2020-01-11,482
238,45,2020-01-07,800
239,88,2020-01-06,2314
240,68,2020-01-12,636
241,48,2020-01-07,1362
242,52,2020-01-05,2001
243,26,2020-01-04,1064
244,18,2020-01-01,1642
245,29,2020-01-04,2173
246,38,2020-01-04,2779
247,36,2020-01-12,330
248,19,2020-01-11,1545
249,45,2020-01-10,2281
250,43,2020-01-08,1719
251,10,2020-01-04,1008
252,79,2020-01-12,3065
253,77,2020-01-08,2156
254,58,2020-01-10,1764
255,41,2020-01-10,2421
256,70,2020-01-02,1590
257,57,2020-01-11,34
258,33,2020-01-04,69
259,47,2020-01-12,516
260,29,2020-01-08,3725
261,65,2020-01-10,640
262,68,2020-01-01,180
263,38,2020-01-14,3962
264,87,2020-01-08,3183
265,40,2020-01-10,2784
266,32,2020-01-10,721
267,79,2020-01-05,1032
268,13,2020-01-04,80
269,15,2020-01-01,2240
270,35,2020-01-12,1130
271,49,2020-01-10,2132
272,56,2020-01-08,128
273,7,2020-01-09,549
274,22,2020-01-06,406
275,17,2020-01-13,1216
276,72,2020-01-13,747
277,7,2020-01-12,162
278,62,2020-01-05,1135
279,22,2020-01-02,2107
280,74,2020-01-05,58
281,37,2020-01-04,1682
282,12,2020-01-04,1743
283,59,2020-01-07,1849
284,1,2020-01-02,477
285,35,2020-01-10,2492
286,41,2020-01-02,2143
287,9,2020-01-10,174
288,59,2020-01-04,1346
289,4,2020-01-13,1076
290,21,2020-01-07,1384
291,15,2020-01-07,1910
292,66,2020-01-12,396
293,53,2020-01-14,1218
294,23,2020-01-04,760
295,84,2020-01-01,3300
296,83,2020-01-12,576
297,8,2020-01-03,1240
298,84,2020-01-08,2400
299,35,2020-01-02,4086
300,66,2020-01-04,1288
301,17,2020-01-08,2530
302,91,2020-01-13,725
303,3,2020-01-01,325
304,58,2020-01-08,2333
305,32,2020-01-09,1396
306,27,2020-01-14,768
307,72,2020-01-09,2610
308,62,2020-01-14,2052
309,28,2020-01-13,3895
310,99,2020-01-09,2192
311,85,2020-01-13,772
312,6,2020-01-09,444
313,83,2020-01-02,1310
314,86,2020-01-11,2960
315,87,2020-01-13,2008
316,23,2020-01-07,1350
317,56,2020-01-09,1353
318,30,2020-01-14,1563
319,3,2020-01-13,694
320,70,2020-01-10,1017
321,85,2020-01-14,348
322,30,2020-01-10,2042
323,6,2020-01-06,4896
324,1,2020-01-14,80
325,38,2020-01-10,3229
326,13,2020-01-02,3805
327,12,2020-01-06,787
328,67,2020-01-12,721
329,90,2020-01-02,1110
330,75,2020-01-09,1039
331,60,2020-01-02,2496
332,81,2020-01-13,358
333,44,2020-01-04,1720
334,96,2020-01-14,2234
335,37,2020-01-13,1930
336,91,2020-01-01,178
337,93,2020-01-09,822
338,75,2020-01-07,632
339,14,2020-01-12,1236
340,76,2020-01-09,1708
341,64,2020-01-07,977
342,100,2020-01-04,2266
343,44,2020-01-09,2340
344,18,2020-01-05,764
345,28,2020-01-07,670
346,75,2020-01-12,878
347,64,2020-01-08,1322
348,14,2020-01-06,2285
349,58,2020-01-10,945
350,79,2020-01-14,1792
351,30,2020-01-06,1480
352,53,2020-01-13,3265
353,45,2020-01-10,1432
354,60,2020-01-10,1987
