order_id,product_id,price_per_unit,quantity,total_price
1,493,178,1,178
1,715,136,8,1088
2,130,106,9,954
3,92,12,8,96
4,302,130,1,130
4,655,22,3,66
5,940,37,5,185
5,803,48,4,192
6,304,134,4,536
6,638,16,10,160
6,603,30,1,30
7,658,198,9,1782
7,843,175,8,1400
7,36,189,9,1701
8,27,161,9,1449
8,613,200,4,800
8,51,151,5,755
9,855,99,6,594
10,44,140,3,420
10,505,182,2,364
11,785,33,2,66
11,916,87,3,261
11,900,177,10,1770
11,63,146,3,438
12,828,66,1,66
12,231,67,3,201
12,924,87,6,522
13,642,97,7,679
14,726,99,2,198
14,640,94,2,188
14,936,92,9,828
14,275,99,6,594
15,110,194,4,776
15,870,104,1,104
16,153,110,7,770
16,610,170,8,1360
16,285,159,7,1113
16,776,54,4,216
17,142,130,1,130
17,275,99,4,396
17,862,179,4,716
18,642,97,7,679
18,973,115,8,920
18,374,101,4,404
19,346,194,9,1746
20,376,133,5,665
20,400,130,3,390
20,753,165,4,660
20,201,159,3,477
21,234,145,2,290
22,634,22,10,220
23,261,67,5,335
23,675,163,8,1304
24,774,118,3,354
24,872,19,4,76
24,760,142,9,1278
25,352,51,3,153
25,722,98,2,196
25,873,24,4,96
25,497,71,6,426
26,8,129,6,774
27,548,170,2,340
27,846,42,9,378
28,125,28,9,252
28,721,195,4,780
28,835,152,2,304
28,78,56,4,224
29,793,162,6,972
29,596,45,10,450
29,710,179,2,358
29,853,88,4,352
30,79,115,2,230
30,334,141,1,141
30,480,17,5,85
30,465,90,6,540
31,285,159,9,1431
31,130,106,2,212
31,472,101,2,202
31,931,195,10,1950
32,30,199,3,597
32,992,67,10,670
32,437,128,3,384
33,290,115,8,920
33,691,147,10,1470
33,195,123,3,369
34,643,10,1,10
34,483,198,4,792
34,310,183,10,1830
35,746,49,10,490
36,720,75,7,525
37,93,199,9,1791
38,546,166,10,1660
38,508,63,9,567
38,681,60,2,120
38,212,200,10,2000
39,516,137,6,822
40,539,92,3,276
40,462,121,6,726
40,580,166,2,332
41,640,94,5,470
42,281,151,10,1510
42,842,131,9,1179
42,787,145,6,870
43,556,15,4,60
43,521,23,1,23
44,665,113,8,904
44,668,50,1,50
44,496,48,8,384
45,902,77,7,539
46,854,39,7,273
47,293,116,9,1044
47,960,168,1,168
47,222,36,8,288
48,368,71,8,568
48,772,68,4,272
48,283,24,3,72
49,543,99,6,594
49,831,135,4,540
49,871,141,8,1128
50,875,79,5,395
50,7,12,5,60
50,195,123,8,984
51,359,19,9,171
51,854,39,3,117
51,10,156,6,936
52,291,74,6,444
52,723,33,5,165
52,977,74,8,592
53,703,200,1,200
53,657,91,1,91
54,881,105,5,525
54,526,129,7,903
55,750,131,6,786
55,37,182,9,1638
56,974,42,10,420
56,205,112,7,784
56,550,137,7,959
57,393,198,2,396
57,584,109,8,872
57,900,177,7,1239
58,2,189,3,567
59,374,101,3,303
59,208,69,7,483
59,302,130,6,780
59,660,56,7,392
60,275,99,6,594
60,691,147,1,147
60,852,106,2,212
60,200,182,9,1638
61,334,141,9,1269
61,563,122,3,366
61,595,158,9,1422
62,373,25,9,225
62,682,137,5,685
62,366,124,4,496
62,229,111,9,999
63,15,191,6,1146
63,484,81,4,324
63,755,10,9,90
63,745,19,6,114
64,176,108,7,756
65,719,108,3,324
66,627,129,2,258
67,926,103,9,927
67,290,115,6,690
68,154,118,7,826
68,525,136,6,816
68,851,97,1,97
69,388,40,3,120
69,550,137,1,137
69,862,179,7,1253
70,488,64,4,256
70,329,127,10,1270
70,923,133,6,798
70,941,85,1,85
71,538,199,5,995
71,89,94,3,282
71,821,134,7,938
71,534,112,5,560
72,404,144,8,1152
73,934,13,2,26
74,54,197,7,1379
74,76,71,5,355
75,413,39,6,234
75,8,129,8,1032
76,716,182,8,1456
76,388,40,2,80
76,906,174,7,1218
77,587,54,4,216
77,303,54,4,216
77,969,170,10,1700
78,984,145,1,145
78,365,48,5,240
78,946,70,2,140
78,139,71,10,710
79,724,129,1,129
80,664,133,6,798
80,998,95,5,475
80,533,11,6,66
81,811,20,7,140
81,150,193,8,1544
81,976,50,3,150
81,713,63,4,252
82,919,123,8,984
82,93,199,7,1393
83,950,80,4,320
83,312,104,3,312
84,203,155,3,465
85,57,191,1,191
86,947,34,9,306
87,317,35,6,210
88,865,46,10,460
88,789,176,5,880
88,727,58,2,116
89,126,15,10,150
89,24,161,6,966
89,903,145,4,580
90,958,78,1,78
90,390,38,7,266
90,733,111,2,222
91,957,80,4,320
91,785,33,4,132
91,722,98,4,392
91,41,167,4,668
92,784,179,10,1790
93,556,15,4,60
93,382,40,2,80
93,697,92,5,460
94,612,39,7,273
94,519,179,6,1074
94,569,37,1,37
94,940,37,8,296
95,984,145,6,870
95,915,71,10,710
96,150,193,5,965
96,660,56,5,280
96,366,124,6,744
97,745,19,8,152
97,532,46,10,460
97,657,91,3,273
97,398,167,8,1336
98,769,103,10,1030
99,133,196,1,196
100,268,149,9,1341
101,160,169,6,1014
102,978,20,5,100
102,927,166,3,498
102,921,73,9,657
103,232,113,3,339
103,17,145,2,290
104,168,109,3,327
104,476,137,1,137
104,983,136,9,1224
104,527,71,7,497
105,849,141,9,1269
105,922,99,10,990
105,794,100,6,600
105,899,185,4,740
106,450,135,5,675
106,94,146,6,876
106,73,145,6,870
107,130,106,5,530
108,481,103,6,618
109,936,92,9,828
109,362,155,3,465
109,142,130,7,910
110,324,171,9,1539
111,480,17,5,85
111,537,71,7,497
112,600,171,5,855
112,958,78,10,780
112,634,22,6,132
